,R0,final_coverage,vaccine_coverage_mat,deaths_averted,years_life_saved
1,1.2,0.6,All," 117,854 "," 712,360 "
3,1.2,0.8,All," 118,178 "," 714,504 "
5,1.4,0.6,All," 36,491 "," 285,935 "
7,1.4,0.8,All," 36,583 "," 286,586 "
9,1.6,0.6,All," 8,635 "," 70,129 "
11,1.6,0.8,All," 8,705 "," 70,632 "
13,1.7,0.6,All," 4,516 "," 35,652 "
15,1.7,0.8,All," 4,596 "," 36,219 "
17,1.8,0.6,All," 2,622 "," 19,635 "
19,1.8,0.8,All," 2,723 "," 20,361 "
2,1.2,0.6,Elderly," 862,840 "," 5,173,476 "
4,1.2,0.8,Elderly," 1,635,079 "," 8,326,446 "
6,1.4,0.6,Elderly," 1,202,664 "," 9,253,766 "
8,1.4,0.8,Elderly," 2,008,811 "," 11,686,977 "
10,1.6,0.6,Elderly," 1,346,019 "," 10,181,106 "
12,1.6,0.8,Elderly," 2,389,530 "," 16,173,757 "
14,1.7,0.6,Elderly," 1,374,081 "," 10,064,541 "
16,1.7,0.8,Elderly," 2,433,936 "," 16,051,892 "
18,1.8,0.6,Elderly," 1,386,713 "," 9,794,303 "
20,1.8,0.8,Elderly," 2,445,176 "," 15,557,052 "
